Id,ProductId,UserId,ProfileName,Score,Text
1,B001GVISJM,A3IV7CL2C13K2U,Greg,5,Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me.
2,B001GVISJM,A1WO0KGLPR5PV6,mom2emma,5,"My husband is a Twizzlers addict.  We've bought these many times from Amazon because we're government employees living overseas and can't get them in the country we are assigned to.  They've always been fresh and tasty, packed well and arrive in a timely manner."
3,B001GVISJM,AZOF9E17RGZH8,Tammy Anderson,5,"I bought these for my husband who is currently overseas. He loves these, and apparently his staff likes them also.<br />There are generous amounts of Twizzlers in each 16-ounce bag, and this was well worth the price. <a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>"
4,B001GVISJM,ARYVQL4N737A1,Charles Brown,5,I can remember buying this candy as a kid and the quality hasn't dropped in all these years. Still a superb product you won't be disappointed with.
5,B001GVISJM,AJ613OLZZUG7V,Mare's,5,I love this candy.  After weight watchers I had to cut back but still have a craving for it.
6,B001GVISJM,A22P2J09NJ9HKE,"S. Cabanaugh ""jilly pepper""",5,"I have lived out of the US for over 7 yrs now, and I so miss my Twizzlers!!  When I go back to visit or someone visits me, I always stock up.  All I can say is YUM!<br />Sell these in Mexico and you will have a faithful buyer, more often than I'm able to buy them right now."
7,B001GVISJM,A3FONPR03H3PJS,"Deborah S. Linzer ""Cat Lady""",5,"Product received is as advertised.<br /><br /><a href=""http://www.amazon.com/gp/product/B001GVISJM"">Twizzlers, Strawberry, 16-Ounce Bags (Pack of 6)</a>"
8,B001GVISJM,A3RXAU2N8KV45G,lady21,1,"The candy is just red , No flavor . Just  plan and chewy .  I would never buy them again"
9,B001GVISJM,AAAS38B98HMIK,Heather Dube,4,I was so glad Amazon carried these batteries.  I have a hard time finding them elsewhere because they are such a unique size.  I need them for my garage door opener.<br />Great deal for the price.
10,B002GWHC0G,A2EFAW1P3DRXWO,TJ Fairfax,5,"We roast these in a large cast iron pan on the grill (about 1/3 of the bag at a time).  The smell is wonderful and the roasted beans taste delicious too.  More importantly, the coffee is smooth; no bitter aftertaste.  On numerous occasions, we've had to send the roasted beans home with friends because they like it so much."
11,B004N5KULM,A202WR509428VF,amateur amazon shopper,5,Deal was awesome!  Arrived before Halloween as indicated and was enough to satisfy trick or treaters.  I love the quality of this product and it was much less expensive than the local store's candy.
12,B004N5KULM,ASCNNAJU6SXF8,S. Beck,5,"It is chocolate, what can I say.  Great variety of everything our family loves.  With a family of six it goes fast here.  Perfect variety.  Kit Kat, Reeses, take five and more."
13,B004N5KULM,A2A7KXM9B4XW90,"P. Kelso ""Amazon all the way!""",5,"Great product, nice combination of chocolates and perfect size!  The bags had plenty, and they were shipped promptly.  The kids in the neighborhood liked our candies!"
14,B004N5KULM,A2QOGOXPOVKAJG,mimimc,5,"Halloween is over but, I sent a bag to my daughters class for her share. The chocolate was fresh and enjoyed by many."
15,B004N5KULM,A1ZR8O62VSU4OK,"Lisa J. Szlosek ""lisa""",3,"Watch your prices with this.  While the assortment was good, and I did get this on a gold box purchase, the price for this was<br />$3-4 less at Target."
16,B004N5KULM,A7ZK2A3VIW7X9,Peggy,5,"This bag of candy online is pretty expensive, it should be cheaper in order to compete with grocery stores, other than that, its a good combination of my favorite candy"
17,B001EO5TPM,A1E09XGZUR78C6,gary sturrock,1,Arrived in 6 days and were so stale i could not eat any of the 6 bags!!
18,B0019CW0HE,A2P6ACFZ8FTNVV,Melissa Benjamin,1,"I fed this to my Golden Retriever and he hated it.  He wouldn't eat it, and when he did, it gave him terrible diarrhea.  We will not be buying this again.  It's also super expensive."
19,B004K2IHUO,A1SYSKR79LA2CB,"Mycroft ""Virture is its own punishment""",5,"The mouth says, ""How do I love thee, let me count the ways...""<br />If you like apple products a must have item.  The only draw back, shipping cost.  These are very heavy."
20,B004K2IHUO,A3D1TXE98KRKYO,"Danny ""The Student""",4,"Arrived slightly thawed. My parents wouldn't accept it. However, the company was very helpful and issued a full refund."
21,B004K2IHUO,AVCA516CFZ9HF,S. Fowler,4,"The crust on these tarts are perfect.  My husband loves these, but I'm not so crazy about them.  They are just too sour/tart for my taste.  I'll eat the crust and hubby takes my filling.  My kids think they're great, so maybe it's just me."
22,B004K2IHUO,A1P21J0DMTVGS7,Lovethemovies,5,"These are absolutely scrumptuous!  My husband and I both love them, however, as another customer put it, they are expensive to ship!  The cost of shipping is more than the tartlets themselves are!"
23,B004K2IHUO,AL3E5V6MXO9B0,pionex1796,5,What a nice alternative to an apple pie. Love the fact there was no slicing and dicing. Easy to prepare. I also loved the fact that you can make them fresh whenever needed.
24,B004K2IHUO,A2O9G2521O626G,Rachel Westendorf,5,I like Creme Brulee. I loved that these were so easy. Just sprinkle on the sugar that came with and broil. They look amazing and taste great. My guess thought I really went out of the way for them when really it took all of 5 minutes. I will be ordering more!
25,B004K2IHUO,A1ZKFQLHFZAEH9,"S. J. Monson ""world citizen""",3,not what I was expecting in terms of the company's reputation for excellent home delivery products
26,B003VTN95K,A3KVJ2DVCLO0HB,Gadget girl,5,"I purchased these coffee mate singles to use at work along with the coffee ""tea"" bags.  They're great because they don't require refrigeration."
27,B007DJ0O9I,A24GM452AKJTT9,AMAZONGURL,1,"I received the items in a timely manner. Upon receipt, I removed a pack to consume. The pop-tart was STALE and left an awful taste in my mouth."
28,B007DJ0O9I,A328TUPI6HYZSF,Maplerise Mom,5,"I found these new spring Pop-Tarts and bought them on a whim.  My kids and I were amazed and delighted at the fun, colorful, amazingly detailed artwork on these Pop-Tarts.  Fantastic for after school snacks, lunch boxes, and school treats. Tie with a ribbon for a bright ""thinking of you this spring"" gift.  The only challenge is finding more in stores.  Way to go Kellogg's - fantastic product!"
29,B00469VSJI,A28D8FT2NNCS2Z,calledoutwithwords,5,"Yes, I am having a cup right now.  I went all over town looking for this coffee after been invited to a non profit organization to a banquet and besides the delicious food they top it off with this amazing delicious coffee.  I paid and extra 20 bucks to get it right way and it is worth the money. Highly recommend."
30,B00469VSJI,A2EVOV2OZBQU53,Explorer777,1,"Taste like it is stale.  Will not order this again.  I had this coffee at a 50th year annerversery at a reception hall and had to have it.  This stuff tasted NOTHING, like the Douwe Egberts at the hall.  This is possibly stale coffee."
31,B00469VSJI,A1447CDAPZGLYV,SANA AWAR,1,"Serveice delivery with the seller was excellent. The product was not. Will not order again. Bad taste. Iam not sure if it was old or that how it tastes. I throw it right away, i coudl not drink it."
32,B002SRAU80,A156LLD3VZJGC2,D. W. Knowlington,5,"This is honestly THE BEST seasoning salt in all the land.  It tightens up any dish; not spicy, just perfectly seasoned.  It's perfect, hence, my purchase of this 35 oz. mamma jamma."
33,B0067LDV66,A1KZ67VEU7CJQ3,Bprice,5,"The order arrived as advertised. I have had only a few chances to use it, but it is awesome. The flavor is exactly what I hoped for! It may take me a while to finish the entire gallon, but I will definnantly order again!"
34,B0067LDV66,A26EQ8U96JA92T,Jody,5,"I like a lot of sesame oil and use it in salads regularly.  Great quality, flavor and aroma.  Can't beat that its organic!"
35,B000HKYP9A,A2CHZ5Q2EF3IR3,Mommy with an Opinion,5,"Bought a set of two when my son was about 6 months, and we started taking them with us whenever we went out to eat.  I cut up cantaloupe, apple, banana (even used sweet potatoes a few times)-- just whatever I could get at the restaurant-- and it would keep my son busy long enough that I could actually eat!  It's great because I didn't have to be overly worried about him choking on big chunks, and he got to try out new foods.  I wouldn't hesitate to buy this again."
36,B000HKYP9A,AD5WAUA14YD6N,M. Knapp,4,"I have a slightly different version of this - different brand.  My son started using it around six months, and he really enjoys it.  He DOES get messy if he eats something sticky or juicy like banana or watermelon, but whatever...  Anyway, I also had trouble cleaning it, until I tried scrubbing it with a nail or vegetable brush.  That works pretty well.  It takes some time, but not as much as it would take to run food through a food mill or blender, or cut it up, then clean it up off him, the chair, the floor, the dog, me, well you get the picture."
37,B000HKYP9A,AHMKE1AJEHHS3,"J. Ponce ""MPonce""",5,"What a GREAT idea!!!! My daughter love it.<br />I don't think is difficult to wash, I mean, is not like just toss water and that's it... but, come on!!!!<br />Absolutely recommend it!"
38,B000HKYP9A,A6VEEE9HOL004,"Jaime M ""Luc's Mom""",3,This product is impossible to wash and actually get cleaned.  I couldn't get the food pieces out to save my life. I tried scrubbing them out and even washed it in the dishwasher as it suggests.
39,B000HKYP9A,A3JBI5QDS32UEM,J. Foreman,5,"I loved this product for fruits and other food that I didn't want my new baby to choke on.  I also used it to put ice in when my baby was teething. It worked great for this, as well as for the food. I didn't like bananas in it though-impossible to get clean!"
40,B000HKYP9A,AMNCDXFZKL6MZ,C. Lamberts,3,"I love, love, love the idea of this product and my little one loves, loves, loves to use it.  She gets fresh fruit and other tasty things and I don't have to worry about her choking.  The only drawback is that bits of food get stuck in the mesh and the seams and are impossible to get out.  Granted, some foods are more difficult than others and some don't cause that much of a problem.  Bananas however, have pretty much destroyed a couple of them.  While I love this product, I think that next time I will get the one that has the removable and replaceable mesh bags."
41,B000HKYP9A,A2B7A8FJBT0HDX,"S. Nayeem ""Hanaa's mommy""",3,"The Munchkin fresh food feeder is an okay product, it's kind of like sucking on food through a cloth. While my daughter was interested in it for a little while, she eventually lost interest. I may introduce it back to her again and see how she reacts."
